Timestamp,Alpha_L,Beta_L,Gamma_L,Alpha_R,Beta_R,Gamma_R,AlphaL_rel,BetaL_rel,GammaL_rel,AlphaR_rel,BetaR_rel,GammaR_rel,Marker
2025-11-06T19:13:59,3284.612,553.697,129.910,0.005,0.002,0.002,0.828,0.140,0.033,0.536,0.241,0.223,
2025-11-06T19:14:00,182.076,267.068,158.425,0.001,0.001,0.002,0.300,0.440,0.261,0.176,0.330,0.494,
2025-11-06T19:14:01,129071.507,17863.928,750.019,0.255,0.231,0.028,0.874,0.121,0.005,0.496,0.450,0.054,
2025-11-06T19:14:02,2556.380,3032.196,156.493,0.006,0.022,0.004,0.445,0.528,0.027,0.181,0.700,0.119,
2025-11-06T19:14:03,4577.680,795.023,283.468,0.006,0.005,0.005,0.809,0.141,0.050,0.380,0.327,0.294,
2025-11-06T19:14:04,404.385,217.247,165.920,0.001,0.003,0.003,0.513,0.276,0.211,0.188,0.360,0.452,
2025-11-06T19:14:05,1899.411,606.095,166.789,0.003,0.006,0.003,0.711,0.227,0.062,0.250,0.513,0.237,
2025-11-06T19:14:06,7024.191,3544.474,354.867,0.016,0.021,0.005,0.643,0.324,0.032,0.385,0.508,0.107,
2025-11-06T19:14:07,358.093,155.603,145.207,0.001,0.003,0.002,0.543,0.236,0.220,0.213,0.478,0.309,
2025-11-06T19:14:08,4518.652,1775.202,99.181,0.014,0.010,0.003,0.707,0.278,0.016,0.505,0.376,0.118,
2025-11-06T19:14:09,9728.618,4168.830,248.928,0.006,0.011,0.003,0.688,0.295,0.018,0.305,0.549,0.146,
2025-11-06T19:14:10,6871.636,1412.179,185.242,0.011,0.005,0.002,0.811,0.167,0.022,0.628,0.270,0.102,
2025-11-06T19:14:11,228.806,368.205,164.816,0.001,0.002,0.004,0.300,0.483,0.216,0.158,0.235,0.607,
2025-11-06T19:14:12,678.798,298.555,117.106,0.000,0.002,0.002,0.620,0.273,0.107,0.091,0.411,0.498,
2025-11-06T19:14:13,1320.127,361.676,136.619,0.004,0.003,0.002,0.726,0.199,0.075,0.471,0.278,0.251,
2025-11-06T19:14:14,1693.960,385.840,164.674,0.003,0.003,0.002,0.755,0.172,0.073,0.377,0.375,0.249,
2025-11-06T19:14:15,16366.850,2140.476,240.176,0.022,0.019,0.005,0.873,0.114,0.013,0.464,0.418,0.117,
2025-11-06T19:14:16,175.175,150.042,185.006,0.001,0.002,0.003,0.343,0.294,0.363,0.200,0.358,0.442,
2025-11-06T19:14:17,431.725,193.228,111.267,0.001,0.002,0.002,0.586,0.262,0.151,0.176,0.434,0.390,
2025-11-06T19:14:18,134.408,175.432,90.541,0.001,0.003,0.002,0.336,0.438,0.226,0.199,0.438,0.363,
2025-11-06T19:14:19,190.522,226.262,115.226,0.001,0.002,0.002,0.358,0.425,0.217,0.156,0.456,0.389,
2025-11-06T19:14:20,338.588,145.525,139.956,0.001,0.002,0.002,0.543,0.233,0.224,0.171,0.416,0.413,
2025-11-06T19:14:21,130.772,290.117,139.545,0.001,0.002,0.003,0.233,0.518,0.249,0.135,0.330,0.535,
2025-11-06T19:14:22,417.557,197.939,194.716,0.003,0.002,0.003,0.515,0.244,0.240,0.358,0.269,0.373,
2025-11-06T19:14:23,468.137,526.506,146.351,0.002,0.003,0.002,0.410,0.461,0.128,0.342,0.406,0.252,
2025-11-06T19:14:24,321.174,331.269,124.841,0.001,0.002,0.003,0.413,0.426,0.161,0.159,0.290,0.550,
2025-11-06T19:14:25,159.929,97.659,153.068,0.001,0.002,0.003,0.389,0.238,0.373,0.197,0.288,0.515,
2025-11-06T19:14:26,282.474,167.950,174.868,0.001,0.002,0.003,0.452,0.269,0.280,0.148,0.331,0.521,
2025-11-06T19:14:27,1379.380,4586.990,1502.271,0.002,0.023,0.019,0.185,0.614,0.201,0.051,0.528,0.421,
2025-11-06T19:14:28,698.362,432.948,103.425,0.001,0.005,0.005,0.566,0.351,0.084,0.084,0.463,0.453,
2025-11-06T19:14:29,4343.591,901.432,190.387,0.010,0.007,0.009,0.799,0.166,0.035,0.393,0.267,0.340,
2025-11-06T19:14:30,17559.868,3531.787,353.804,0.016,0.011,0.004,0.819,0.165,0.016,0.519,0.345,0.136,
2025-11-06T19:14:31,7494.275,4959.590,495.890,0.008,0.011,0.005,0.579,0.383,0.038,0.325,0.466,0.209,
2025-11-06T19:14:32,18677.869,4161.941,200.645,0.021,0.012,0.005,0.811,0.181,0.009,0.557,0.321,0.121,
2025-11-06T19:14:33,10140.753,1634.219,298.159,0.040,0.034,0.010,0.840,0.135,0.025,0.483,0.402,0.115,
2025-11-06T19:14:34,9519.716,842.972,71.747,0.007,0.002,0.002,0.912,0.081,0.007,0.662,0.198,0.139,
2025-11-06T19:14:35,876.417,955.464,121.053,0.002,0.003,0.003,0.449,0.489,0.062,0.263,0.383,0.354,
2025-11-06T19:14:36,1308.335,677.620,133.474,0.001,0.003,0.002,0.617,0.320,0.063,0.183,0.517,0.299,
2025-11-06T19:14:37,2006.765,956.770,314.930,0.003,0.005,0.005,0.612,0.292,0.096,0.236,0.417,0.347,
2025-11-06T19:14:38,377810.082,284519.450,37541.938,5.230,3.677,0.444,0.540,0.407,0.054,0.559,0.393,0.048,
2025-11-06T19:14:39,2413205.901,831676.121,64043.514,4.446,2.072,0.644,0.729,0.251,0.019,0.621,0.289,0.090,
2025-11-06T19:14:40,1968602.862,735133.732,24806.671,3.414,2.412,0.484,0.721,0.269,0.009,0.541,0.382,0.077,
2025-11-06T19:14:41,3123015.647,1541692.453,102634.517,3.224,5.174,1.152,0.655,0.323,0.022,0.338,0.542,0.121,
2025-11-06T19:14:42,108479.103,13751.112,821.421,0.240,0.248,0.016,0.882,0.112,0.007,0.476,0.492,0.033,
2025-11-06T19:14:43,244146.600,153931.395,8562.692,0.502,0.674,0.156,0.600,0.379,0.021,0.377,0.506,0.117,
2025-11-06T19:14:44,2177653.420,297396.669,7956.174,5.772,3.176,0.286,0.877,0.120,0.003,0.625,0.344,0.031,
2025-11-06T19:14:45,40324.043,8352.765,313.657,0.083,0.051,0.011,0.823,0.170,0.006,0.574,0.350,0.076,
2025-11-06T19:14:46,20006.007,3637.564,271.993,0.068,0.028,0.003,0.837,0.152,0.011,0.689,0.283,0.028,
2025-11-06T19:14:47,70774.672,41814.096,552.727,0.186,0.214,0.015,0.626,0.370,0.005,0.449,0.515,0.036,
2025-11-06T19:14:48,58059.401,4124.188,409.755,0.120,0.064,0.011,0.928,0.066,0.007,0.615,0.327,0.058,
2025-11-06T19:14:49,139535.951,25263.008,772.298,0.151,0.132,0.017,0.843,0.153,0.005,0.504,0.440,0.056,
2025-11-06T19:14:50,167422.492,15060.502,570.836,0.560,0.147,0.032,0.915,0.082,0.003,0.758,0.199,0.043,
2025-11-06T19:14:51,57534.650,6387.008,245.398,0.231,0.054,0.005,0.897,0.100,0.004,0.797,0.185,0.017,
2025-11-06T19:14:52,483752.967,21507.575,428.459,0.665,0.104,0.016,0.957,0.043,0.001,0.847,0.133,0.020,
2025-11-06T19:14:53,2526.145,375.331,117.249,0.004,0.003,0.003,0.837,0.124,0.039,0.421,0.309,0.270,
2025-11-06T19:14:54,477237.320,73643.065,13437.753,0.609,0.651,0.220,0.846,0.130,0.024,0.412,0.440,0.149,
2025-11-06T19:14:55,5873439.577,1101083.609,127929.060,13.271,19.593,2.700,0.827,0.155,0.018,0.373,0.551,0.076,
2025-11-06T19:14:56,4985898.773,3774902.950,170118.750,7.848,38.698,16.906,0.558,0.423,0.019,0.124,0.610,0.266,
2025-11-06T19:14:57,24664744.418,8018249.936,653845.844,27.822,27.061,4.505,0.740,0.241,0.020,0.468,0.456,0.076,
2025-11-06T19:14:58,76260.560,19151.900,7268.148,0.103,0.173,0.044,0.743,0.187,0.071,0.322,0.542,0.137,
2025-11-06T19:14:59,3352.061,381.166,139.242,0.005,0.003,0.003,0.866,0.098,0.036,0.446,0.315,0.239,
2025-11-06T19:15:00,1749.195,309.570,109.781,0.003,0.004,0.003,0.807,0.143,0.051,0.277,0.380,0.343,
2025-11-06T19:15:01,944.126,473.115,269.341,0.001,0.004,0.003,0.560,0.281,0.160,0.097,0.487,0.416,
2025-11-06T19:15:02,860.864,494.420,80.307,0.002,0.003,0.003,0.600,0.344,0.056,0.260,0.379,0.361,
2025-11-06T19:15:03,1483.608,394.363,127.963,0.002,0.003,0.003,0.740,0.197,0.064,0.247,0.378,0.375,
2025-11-06T19:15:04,320.111,308.854,181.664,0.001,0.002,0.003,0.395,0.381,0.224,0.192,0.324,0.484,
2025-11-06T19:15:05,471.899,167.653,193.911,0.002,0.002,0.003,0.566,0.201,0.233,0.235,0.309,0.456,
2025-11-06T19:15:06,239.104,259.152,174.382,0.000,0.002,0.002,0.355,0.385,0.259,0.094,0.407,0.498,
2025-11-06T19:15:07,592.882,355.638,110.860,0.001,0.002,0.002,0.560,0.336,0.105,0.110,0.411,0.479,
2025-11-06T19:15:08,405.815,236.458,82.086,0.001,0.002,0.002,0.560,0.326,0.113,0.148,0.388,0.464,
2025-11-06T19:15:09,258.331,140.321,109.060,0.001,0.003,0.004,0.509,0.276,0.215,0.079,0.361,0.560,
2025-11-06T19:15:10,171.698,214.454,147.228,0.001,0.003,0.003,0.322,0.402,0.276,0.135,0.450,0.414,
2025-11-06T19:15:11,162.619,152.187,119.068,0.001,0.003,0.001,0.375,0.351,0.274,0.199,0.505,0.296,
2025-11-06T19:15:12,5100.639,1719.026,516.625,0.003,0.008,0.006,0.695,0.234,0.070,0.177,0.467,0.356,
2025-11-06T19:15:13,2072405.055,656731.656,30750.880,1.995,0.873,0.251,0.751,0.238,0.011,0.640,0.280,0.081,
2025-11-06T19:15:14,1276736.208,138797.768,5034.487,1.035,0.429,0.074,0.899,0.098,0.004,0.673,0.279,0.048,
2025-11-06T19:15:15,2515780.471,477607.722,6442.096,2.439,1.504,0.062,0.839,0.159,0.002,0.609,0.376,0.016,
2025-11-06T19:15:16,9895.523,1727.958,415.598,0.064,0.024,0.011,0.822,0.144,0.035,0.647,0.243,0.110,
2025-11-06T19:15:17,4054.512,286.914,142.300,0.006,0.006,0.002,0.904,0.064,0.032,0.456,0.388,0.156,
2025-11-06T19:15:18,4278.669,1429.571,328.809,0.005,0.005,0.003,0.709,0.237,0.054,0.352,0.396,0.252,
2025-11-06T19:15:19,19107.992,556.679,171.792,0.021,0.004,0.002,0.963,0.028,0.009,0.788,0.136,0.076,
2025-11-06T19:15:20,14360.531,1092.075,138.896,0.014,0.005,0.003,0.921,0.070,0.009,0.630,0.234,0.135,
2025-11-06T19:15:21,395970.903,145271.427,10162.751,0.579,0.339,0.108,0.718,0.263,0.018,0.565,0.330,0.105,
2025-11-06T19:15:22,8893355.860,2530863.947,17905.659,10.049,6.969,0.308,0.777,0.221,0.002,0.580,0.402,0.018,
2025-11-06T19:15:23,21386029.271,4959280.079,350776.213,20.927,14.529,4.782,0.801,0.186,0.013,0.520,0.361,0.119,
2025-11-06T19:15:24,39808.293,18957.161,507.422,0.052,0.070,0.011,0.672,0.320,0.009,0.387,0.528,0.085,
2025-11-06T19:15:25,380.220,239.117,166.590,0.003,0.001,0.002,0.484,0.304,0.212,0.480,0.212,0.309,
2025-11-06T19:15:26,444.317,1402.654,22175.254,0.006,0.062,0.799,0.018,0.058,0.923,0.007,0.072,0.922,
2025-11-06T19:15:27,215.092,180.124,106.075,0.002,0.002,0.004,0.429,0.359,0.212,0.207,0.256,0.536,
2025-11-06T19:15:28,198.310,239.279,182.336,0.001,0.003,0.003,0.320,0.386,0.294,0.139,0.375,0.486,
2025-11-06T19:15:29,122.631,236.833,108.016,0.001,0.002,0.003,0.262,0.507,0.231,0.136,0.355,0.508,
2025-11-06T19:15:30,305.938,138.018,173.894,0.003,0.002,0.002,0.495,0.223,0.281,0.445,0.300,0.255,
2025-11-06T19:15:31,105.516,169.359,91.224,0.002,0.002,0.002,0.288,0.463,0.249,0.314,0.360,0.326,
2025-11-06T19:15:32,245.194,149.720,109.439,0.002,0.002,0.002,0.486,0.297,0.217,0.333,0.331,0.336,
2025-11-06T19:15:33,2119.881,553.465,286.384,0.002,0.004,0.004,0.716,0.187,0.097,0.229,0.382,0.389,
2025-11-06T19:15:34,674697.014,125407.840,3534.591,0.764,0.337,0.059,0.840,0.156,0.004,0.659,0.291,0.050,
2025-11-06T19:15:35,326489.393,54212.784,6209.614,0.322,0.194,0.077,0.844,0.140,0.016,0.543,0.327,0.130,
2025-11-06T19:15:37,849.244,359.702,141.639,0.002,0.005,0.003,0.629,0.266,0.105,0.234,0.458,0.308,
2025-11-06T19:15:38,1685.472,1216.244,872.786,0.005,0.008,0.016,0.447,0.322,0.231,0.158,0.283,0.559,
2025-11-06T19:15:39,1443.085,425.626,101.802,0.002,0.006,0.004,0.732,0.216,0.052,0.165,0.523,0.312,
2025-11-06T19:15:40,1027.948,221.589,255.084,0.013,0.014,0.007,0.683,0.147,0.170,0.380,0.413,0.206,
2025-11-06T19:15:41,13299.877,8855.647,1405.160,0.137,0.219,0.063,0.564,0.376,0.060,0.326,0.524,0.151,
2025-11-06T19:15:42,247101.854,73101.910,6779.120,1.933,2.086,0.686,0.756,0.224,0.021,0.411,0.443,0.146,
2025-11-06T19:15:43,305278.371,49314.996,1873.601,2.195,0.511,0.102,0.856,0.138,0.005,0.782,0.182,0.036,
2025-11-06T19:15:44,16534.156,1876.679,157.424,0.029,0.014,0.009,0.890,0.101,0.008,0.558,0.270,0.172,
2025-11-06T19:15:45,17947.975,2505.640,213.503,0.044,0.129,0.013,0.868,0.121,0.010,0.239,0.692,0.068,
2025-11-06T19:15:46,58129.924,29526.841,1106.737,0.674,0.931,0.069,0.655,0.333,0.012,0.402,0.556,0.041,
2025-11-06T19:15:47,292622.458,98343.793,6140.337,2.193,2.703,0.698,0.737,0.248,0.015,0.392,0.483,0.125,
2025-11-06T19:15:48,319614.478,37286.063,6879.492,2.588,1.162,0.843,0.879,0.102,0.019,0.563,0.253,0.184,
2025-11-06T19:15:49,309453.333,118169.298,4756.894,4.409,4.016,0.493,0.716,0.273,0.011,0.494,0.450,0.055,
2025-11-06T19:15:50,36910.425,7170.330,433.161,0.328,0.170,0.031,0.829,0.161,0.010,0.621,0.321,0.058,
2025-11-06T19:15:51,96956.041,43851.522,1939.844,0.850,1.393,0.222,0.679,0.307,0.014,0.345,0.565,0.090,
2025-11-06T19:15:52,3235.944,434.271,167.268,0.018,0.006,0.004,0.843,0.113,0.044,0.647,0.225,0.128,
2025-11-06T19:15:53,57115.933,23677.926,1069.725,0.541,0.534,0.047,0.698,0.289,0.013,0.482,0.476,0.042,
2025-11-06T19:15:54,3079801.446,948809.939,75289.699,5.556,4.556,1.921,0.750,0.231,0.018,0.462,0.379,0.160,
2025-11-06T19:15:55,1084949.560,532103.399,27239.030,1.167,2.228,0.733,0.660,0.324,0.017,0.283,0.540,0.178,
2025-11-06T19:15:56,54725.797,69974.356,2654.276,1.532,0.841,0.252,0.430,0.549,0.021,0.584,0.320,0.096,
2025-11-06T19:15:57,67489.930,19574.513,1620.303,0.096,0.078,0.034,0.761,0.221,0.018,0.464,0.373,0.163,
2025-11-06T19:15:58,5744.954,2061.911,212.867,0.010,0.011,0.004,0.716,0.257,0.027,0.391,0.436,0.173,
2025-11-06T19:15:59,670.224,786.934,229.067,0.003,0.007,0.007,0.397,0.467,0.136,0.193,0.392,0.415,
2025-11-06T19:16:00,102355.208,16723.830,5779.323,1.483,0.387,0.275,0.820,0.134,0.046,0.691,0.181,0.128,
2025-11-06T19:16:01,210537.747,39484.694,2797.811,0.680,1.076,0.220,0.833,0.156,0.011,0.344,0.545,0.111,
2025-11-06T19:16:02,100916.878,27123.626,999.611,0.811,0.271,0.048,0.782,0.210,0.008,0.717,0.240,0.043,
2025-11-06T19:16:03,5831.187,6608.353,587.493,0.014,0.027,0.011,0.448,0.507,0.045,0.264,0.531,0.206,
2025-11-06T19:16:04,5965.673,1953.669,283.612,0.007,0.031,0.005,0.727,0.238,0.035,0.166,0.715,0.118,
2025-11-06T19:16:05,4903.264,956.427,185.821,0.006,0.008,0.003,0.811,0.158,0.031,0.362,0.464,0.175,
2025-11-06T19:16:06,1891.110,438.474,149.973,0.002,0.005,0.004,0.763,0.177,0.060,0.204,0.464,0.332,
2025-11-06T19:16:07,10590.418,4838.602,198.932,0.058,0.051,0.005,0.678,0.310,0.013,0.506,0.446,0.048,
2025-11-06T19:16:08,3576.400,1193.550,178.099,0.011,0.008,0.006,0.723,0.241,0.036,0.456,0.308,0.236,
2025-11-06T19:16:09,1809382.251,606985.419,41621.841,2.830,2.654,0.552,0.736,0.247,0.017,0.469,0.440,0.091,EVENT_4
2025-11-06T19:16:10,1864378.235,678368.569,44246.357,4.209,6.210,1.045,0.721,0.262,0.017,0.367,0.542,0.091,
2025-11-06T19:16:11,58173.492,73902.429,4893.157,0.512,1.492,0.411,0.425,0.540,0.036,0.212,0.618,0.170,
2025-11-06T19:16:12,4368.840,3298.310,252.669,0.016,0.038,0.005,0.552,0.416,0.032,0.275,0.640,0.085,
2025-11-06T19:16:13,43609.975,23116.295,1484.446,0.560,0.610,0.225,0.639,0.339,0.022,0.402,0.437,0.161,
2025-11-06T19:16:14,590772.767,228762.791,3659.704,0.363,0.731,0.167,0.718,0.278,0.004,0.288,0.580,0.132,
2025-11-06T19:16:15,5216.791,3326.302,330.250,0.011,0.020,0.009,0.588,0.375,0.037,0.286,0.492,0.222,
2025-11-06T19:16:16,148296.969,60772.594,3635.415,0.394,1.250,0.355,0.697,0.286,0.017,0.197,0.625,0.178,
2025-11-06T19:16:17,114218.733,35451.595,1011.508,0.999,0.721,0.092,0.758,0.235,0.007,0.551,0.398,0.051,
2025-11-06T19:16:18,897374.527,623293.459,42039.366,3.065,4.269,1.175,0.574,0.399,0.027,0.360,0.502,0.138,
2025-11-06T19:16:19,79266.764,12912.241,8332.597,0.243,0.297,0.036,0.789,0.128,0.083,0.422,0.516,0.062,
2025-11-06T19:16:20,75672.877,38723.957,13265.040,0.692,0.491,0.271,0.593,0.303,0.104,0.476,0.337,0.187,
2025-11-06T19:16:21,73225.827,8185.606,1279.789,0.184,0.061,0.025,0.886,0.099,0.015,0.681,0.227,0.093,
2025-11-06T19:16:22,1287.678,877.402,234.991,0.005,0.007,0.009,0.537,0.366,0.098,0.245,0.334,0.421,
2025-11-06T19:16:23,1313.213,471.772,171.585,0.007,0.003,0.006,0.671,0.241,0.088,0.445,0.190,0.364,
2025-11-06T19:16:24,3777.281,3785.851,194.932,0.005,0.022,0.005,0.487,0.488,0.025,0.166,0.679,0.156,
2025-11-06T19:16:25,902.604,231.267,116.997,0.005,0.006,0.004,0.722,0.185,0.094,0.365,0.387,0.248,
2025-11-06T19:16:26,832.498,290.649,121.700,0.006,0.003,0.003,0.669,0.233,0.098,0.484,0.269,0.247,
2025-11-06T19:16:27,757.658,466.686,364.653,0.001,0.006,0.006,0.477,0.294,0.229,0.106,0.442,0.452,
2025-11-06T19:16:28,1538.340,495.605,170.113,0.002,0.004,0.002,0.698,0.225,0.077,0.293,0.483,0.224,
2025-11-06T19:16:29,15201.121,8807.046,188.663,0.013,0.034,0.004,0.628,0.364,0.008,0.248,0.678,0.073,
2025-11-06T19:16:30,434.941,1246.768,193.574,0.005,0.004,0.003,0.232,0.665,0.103,0.389,0.340,0.271,
2025-11-06T19:16:31,242992.943,118667.942,6195.946,0.490,0.975,0.214,0.661,0.323,0.017,0.292,0.581,0.127,
2025-11-06T19:16:32,17082.951,5579.533,2275.335,0.030,0.080,0.044,0.685,0.224,0.091,0.197,0.519,0.284,
2025-11-06T19:16:33,10235.413,3799.282,378.388,0.052,0.043,0.009,0.710,0.264,0.026,0.499,0.416,0.085,
2025-11-06T19:16:34,6573.041,1291.317,174.200,0.034,0.024,0.006,0.818,0.161,0.022,0.530,0.379,0.092,
2025-11-06T19:16:35,2747.742,713.473,111.451,0.004,0.007,0.004,0.769,0.200,0.031,0.249,0.472,0.279,
2025-11-06T19:16:36,9154.211,1028.790,191.904,0.035,0.020,0.006,0.882,0.099,0.018,0.584,0.323,0.092,
2025-11-06T19:16:37,3289.484,435.512,122.806,0.009,0.005,0.004,0.855,0.113,0.032,0.500,0.272,0.227,
2025-11-06T19:16:38,685.881,326.799,116.821,0.004,0.002,0.002,0.607,0.289,0.103,0.501,0.257,0.242,
2025-11-06T19:16:39,1374.331,203.188,237.010,0.007,0.003,0.003,0.757,0.112,0.131,0.529,0.242,0.228,
2025-11-06T19:16:40,2691.381,383.758,199.900,0.004,0.006,0.006,0.822,0.117,0.061,0.236,0.379,0.385,
2025-11-06T19:16:41,16407.726,3395.673,348.309,0.036,0.022,0.009,0.814,0.169,0.017,0.539,0.323,0.138,
2025-11-06T19:16:42,2420022.579,425877.286,72201.214,12.088,5.309,2.756,0.829,0.146,0.025,0.600,0.263,0.137,
2025-11-06T19:16:43,139293.955,21334.896,10367.698,0.343,0.087,0.116,0.815,0.125,0.061,0.629,0.160,0.212,
2025-11-06T19:16:44,11843956.187,7898875.246,267484.062,88.254,120.508,10.305,0.592,0.395,0.013,0.403,0.550,0.047,
2025-11-06T19:16:45,4637484.453,926249.133,12660.892,17.333,26.441,0.883,0.832,0.166,0.002,0.388,0.592,0.020,
2025-11-06T19:16:46,17895.899,2994.898,438.888,0.029,0.016,0.014,0.839,0.140,0.021,0.486,0.274,0.240,
2025-11-06T19:16:47,1320271.211,2717225.989,283760.804,68.590,113.837,37.328,0.306,0.629,0.066,0.312,0.518,0.170,
2025-11-06T19:16:48,26740872.997,7842463.513,303967.882,119.506,93.473,15.270,0.766,0.225,0.009,0.524,0.410,0.067,
2025-11-06T19:16:49,126771521.575,22658782.894,1294344.107,317.718,430.046,129.496,0.841,0.150,0.009,0.362,0.490,0.148,
2025-11-06T19:16:50,10378372.763,5125597.411,386524.472,25.926,64.619,23.870,0.653,0.323,0.024,0.227,0.565,0.209,
2025-11-06T19:16:51,994133.251,215188.921,18846.171,1.703,1.022,0.110,0.809,0.175,0.015,0.601,0.360,0.039,
2025-11-06T19:16:52,49542.684,19356.557,782.887,0.061,0.100,0.023,0.711,0.278,0.011,0.332,0.544,0.125,
2025-11-06T19:16:53,117023.421,8816.269,415.103,0.456,0.125,0.037,0.927,0.070,0.003,0.738,0.203,0.059,
2025-11-06T19:16:54,2182518.392,931124.173,97482.834,9.646,14.960,0.647,0.680,0.290,0.030,0.382,0.592,0.026,
2025-11-06T19:16:55,19010016.308,4211507.379,355862.762,249.437,106.463,15.034,0.806,0.179,0.015,0.672,0.287,0.041,
2025-11-06T19:16:56,168943.803,49398.055,18101.321,0.755,0.769,0.196,0.715,0.209,0.077,0.439,0.447,0.114,
2025-11-06T19:16:57,7526346.092,5995174.322,403909.764,68.297,77.317,18.421,0.540,0.431,0.029,0.416,0.471,0.112,
2025-11-06T19:16:58,10080856.757,8307140.403,171542.368,52.112,119.036,16.862,0.543,0.448,0.009,0.277,0.633,0.090,
2025-11-06T19:16:59,1475196.563,255355.451,11103.852,9.045,3.568,0.502,0.847,0.147,0.006,0.690,0.272,0.038,
2025-11-06T19:17:00,277108.258,51372.828,1668.384,1.909,1.128,0.121,0.839,0.156,0.005,0.604,0.357,0.038,
2025-11-06T19:17:01,12199706.889,8584258.088,230957.153,44.106,140.247,19.336,0.581,0.408,0.011,0.217,0.689,0.095,
2025-11-06T19:17:02,11522687.837,3978733.686,318672.345,156.668,98.231,16.270,0.728,0.251,0.020,0.578,0.362,0.060,
2025-11-06T19:17:03,2298140.726,715013.576,106441.058,17.941,22.207,3.714,0.737,0.229,0.034,0.409,0.506,0.085,
2025-11-06T19:17:04,19557720.153,12054504.272,684690.939,104.741,83.956,6.697,0.606,0.373,0.021,0.536,0.430,0.034,
2025-11-06T19:17:05,4282481.832,1221240.603,46432.093,15.891,7.210,3.343,0.772,0.220,0.008,0.601,0.273,0.126,
2025-11-06T19:17:06,203220.601,92448.365,2686.671,1.940,2.585,0.307,0.681,0.310,0.009,0.401,0.535,0.064,
2025-11-06T19:17:07,522972.792,202254.280,103231.609,8.383,8.672,1.751,0.631,0.244,0.125,0.446,0.461,0.093,
2025-11-06T19:17:08,4684.181,813.869,147.390,0.028,0.022,0.004,0.830,0.144,0.026,0.518,0.405,0.076,
2025-11-06T19:17:09,14278.575,7055.016,395.811,0.189,0.162,0.013,0.657,0.325,0.018,0.520,0.444,0.036,
2025-11-06T19:17:10,8190.528,2204.704,198.164,0.107,0.032,0.005,0.773,0.208,0.019,0.746,0.219,0.035,
2025-11-06T19:17:11,185568.862,38105.087,617.845,1.370,0.671,0.127,0.827,0.170,0.003,0.632,0.309,0.059,
2025-11-06T19:17:12,10181.478,2008.552,490.603,0.142,0.057,0.034,0.803,0.158,0.039,0.611,0.244,0.145,
2025-11-06T19:17:13,33953.967,3754.884,617.404,0.413,0.077,0.057,0.886,0.098,0.016,0.755,0.140,0.105,
2025-11-06T19:17:14,340100.931,59458.860,18336.315,1.250,0.671,0.209,0.814,0.142,0.044,0.587,0.315,0.098,
2025-11-06T19:17:15,18701.437,4183.714,589.896,0.107,0.085,0.021,0.797,0.178,0.025,0.503,0.400,0.098,
2025-11-06T19:17:16,83394.570,18675.625,947.469,0.533,0.428,0.061,0.810,0.181,0.009,0.522,0.419,0.060,
2025-11-06T19:17:17,45418.010,10103.324,378.345,0.304,0.139,0.029,0.812,0.181,0.007,0.644,0.295,0.061,
2025-11-06T19:17:18,10785.883,3445.400,127.976,0.017,0.018,0.009,0.751,0.240,0.009,0.383,0.411,0.206,
2025-11-06T19:17:19,12131.080,622.121,159.280,0.008,0.005,0.004,0.939,0.048,0.012,0.481,0.299,0.220,
2025-11-06T19:17:20,22926.613,13829.069,2436.288,0.088,0.114,0.104,0.585,0.353,0.062,0.288,0.372,0.340,
2025-11-06T19:17:21,22923.659,7127.706,123.558,0.127,0.037,0.010,0.760,0.236,0.004,0.727,0.214,0.059,
2025-11-06T19:17:22,134434.233,18240.744,668.219,1.007,0.275,0.025,0.877,0.119,0.004,0.771,0.211,0.019,
2025-11-06T19:17:23,382215.758,135369.123,41038.002,1.463,1.816,1.494,0.684,0.242,0.073,0.307,0.380,0.313,
2025-11-06T19:17:24,15490291.469,5358454.230,649185.906,45.459,53.804,22.823,0.721,0.249,0.030,0.372,0.441,0.187,
2025-11-06T19:17:25,686617.565,223457.769,23399.071,2.033,0.922,0.217,0.736,0.239,0.025,0.641,0.291,0.068,
2025-11-06T19:17:26,3523431.142,1916273.478,198166.908,11.915,18.400,6.459,0.625,0.340,0.035,0.324,0.500,0.176,
2025-11-06T19:17:27,7007.070,1344.860,155.020,0.045,0.021,0.006,0.824,0.158,0.018,0.618,0.298,0.084,
2025-11-06T19:17:28,370.386,402.708,118.869,0.003,0.003,0.004,0.415,0.451,0.133,0.300,0.316,0.383,
2025-11-06T19:17:29,890.418,231.806,101.328,0.002,0.002,0.003,0.728,0.189,0.083,0.321,0.285,0.394,
2025-11-06T19:17:30,5508.468,846.578,117.299,0.027,0.021,0.007,0.851,0.131,0.018,0.493,0.380,0.127,
2025-11-06T19:17:31,18867.178,5608.554,383.072,0.098,0.061,0.021,0.759,0.226,0.015,0.544,0.339,0.116,
2025-11-06T19:17:32,46362.909,8384.297,413.570,0.122,0.100,0.035,0.841,0.152,0.007,0.474,0.389,0.136,
2025-11-06T19:17:33,288517.010,241240.598,40245.521,1.070,2.329,1.702,0.506,0.423,0.071,0.210,0.456,0.334,
2025-11-06T19:17:34,553491.085,131077.484,4681.943,1.692,1.747,0.322,0.803,0.190,0.007,0.450,0.465,0.086,
2025-11-06T19:17:35,2679023.050,152520.035,21191.012,6.130,2.636,0.752,0.939,0.053,0.007,0.644,0.277,0.079,
